Week,Site,Individual,Nail_Num,Species,Date,Phenology_Stage,Height,Perc_Green,Notes
1,RA03,1,1.1,HECO,4/4/2022,3,2.2,15,most green seems old (brown on top) but some is new
1,RA03,1,1.2,POSE,4/4/2022,3,2.1,75,
1,RA03,2,2.2,HECO,4/4/2022,2,2.2,5,has old green (brown on top) and no new growth
1,RA03,2,2.1,HECO,4/4/2022,2,2,5,has old green (brown on top) and no new growth
1,RA03,3,3.1,POFE,4/4/2022,3,2.4,30,much of green seems old (brown on top)
1,RA03,3,3.2,POSE,4/4/2022,3,0.9,50,much of green is brown on top
1,RA03,4,4.1,ELEL,4/4/2022,3,1.9,20,
1,RA03,4,4.2,POSE,4/4/2022,3,1.1,60,
1,RA03,5,5.2,POFE,4/4/2022,4,2.5,50,"half lots of new growth, half nothing"
1,RA03,5,5.1,POFE,4/4/2022,3,2.4,30,
1,RA03,6,6.2,POSE,4/4/2022,4,2.2,50,
1,RA03,6,6.1,ELEL,4/4/2022,2,0.4,1,new growth just starting
1,RA03,7,7.1,ELEL,4/4/2022,3,1.8,10,POSE near/in
1,RA03,7,7.2,POSE,4/4/2022,3,1.4,50,
1,RA03,8,8.1,POFE,4/4/2022,3,2.9,30,
1,RA03,8,8.2,POSE,4/4/2022,3,1.4,80,
1,RA03,9,9.2,POSE,4/4/2022,3,2,60,
1,RA03,9,9.1,HECO,4/4/2022,3,1.2,5,
1,RA03,10,10.1,POFE,4/4/2022,3,1.8,5,less sure on id
1,RA03,10,10.2,POSE,4/4/2022,3,1.7,70,
1,RA05,1,1.2,POSE,4/2/2022,3,2,40,
1,RA05,1,1.1,ELEL,4/2/2022,3,1.9,5,
1,RA05,2,2.1,ELEL,4/2/2022,3,2.4,10,
1,RA05,2,2.2,POSE,4/2/2022,3,1.3,40,
1,RA05,3,3.2,POSE,4/2/2022,4,1.8,50,
1,RA05,3,3.1,POSE,4/2/2022,3,1.6,50,
1,RA05,4,4.1,ACHY,4/2/2022,3,1.7,1,borderline 2 but several short blades of new make it a 3
1,RA05,4,4.2,POSE,4/2/2022,4,1.2,40,borderline 3
