Functional_Type,Species,Common_Name,Sci_Name
Large C3,HECO,needle-and-thread,Hesperostipa comata
Large C3,ACHY,indian ricegrass,Achnatherum hymenoides
Large C3,ELEL,bottlebrush squirreltail,Elymus elymoides
Large C3,ELsp,thickspike / slender wheatgrass,Elymus trachycaulus or lanceolatus 
Large C3,POFE,muttongrass,Poa fendleriana
Large C3,ACsp,,Achnatherum sp.
Small C3,POSE,Sandberg bluegrass,Poa secunda
C4,BOGR,blue grama,Bouteloua gracilis
Forb,ALDE,desert madwort,Alyssum desertorum
Forb,LAsp,,Lappula sp.
Forb,CRsp,,Cryptantha sp. (annual)
Forb,PHHO,Spiny phlox,Phlox hoodii
Forb,ERCA,matted buckwheat,Eriogonum caespitosum
Forb,LERE,bitterroot,Lewisia rediviva
Forb,PHLO,Longleaf Phlox,Phlox longifolia
Forb,ANDI,low pussytoes,Antennaria dimorpha
Forb,ANsp,low pussytoes,Antennaria sp.
Forb,EROV,cushion buckwheat,Eriogonum ovalifolium
Forb,PELA,Larch-leaf Beardtongue,Penstemon laricifolius
Forb,ERHO,Hooker's Sandwort,Eremogone hookeri
Forb,LIPU,granite prickly-phlox,Linanthus pungens
Forb,CYAC,plains spring parsley,Cymopterus (acaulis?)
Forb,LIRU,western stoneseed,Lithospermum ruderale
Forb,ASPU,woollypod milkvetch,Astragalus purshii
Forb,STAC,mock goldenweed,Stenotus acaulis
Forb,BOsp,mustard,Boechera sp.
Forb,LOsp,,Lomatium sp.
sedge,sedge,sedge,
